Cell type	p value	Gene Count	p value	Gene Count	p value	Gene Count
Endothelial	p<0.001	167	p<0.001	171	p<0.001	144
Astrocyte	p<0.001	261	p<0.001	271	p<0.001	225
Microglia	p<0.001	240	p<0.001	264	p<0.001	194
Oligodendrocyte	p<0.001	146	p<0.001	145	p<0.001	122
Oligodendrocyte precursors	0.999	168	p<0.001	179	1	151
FS Basket (G42)	p<0.001	18	p<0.001	18	p<0.001	18
Martinotti (GIN)	p<0.001	14	p<0.001	15	0.001	13
VIPReln (G30)	p<0.001	30	p<0.001	32	p<0.001	26
Pyramidal	p<0.001	34	p<0.001	34	p<0.001	27
