,astro1,astro2,astro3,reactive1,reactive2,reactive3
Dram2,4.75394531359729,5.28522708076358,2.87237329964139,7.27571391155922,5.49165451160385,8.843152451941
Cks2,4.64164941396285,5.48150357831991,4.60755919144564,7.19010744264206,4.62288611236194,9.75259384574051
Acbd3,8.05571479293631,7.58191852555631,5.86507607722715,2.63890373254594,6.12060198146843,4.04759514386421
Anxa3,3.39524464669232,3.05717593311086,3.46199094894859,6.99424917802368,6.05058458849874,7.76930955457235
Tspo,7.06428456748982,5.58893735323325,7.33139815791676,9.73045122942177,9.48790021975548,11.1002569407198
Pggt1b,8.22423993867477,7.34354278090937,6.40497834073384,2.43429925129893,7.21603027195094,5.59194180358289
Fcgr1,3.37215173454174,3.94120978274203,3.58034195203139,8.01110603684733,6.49821957051887,7.21884558833312
Cd52,5.24818578396055,5.90420060043594,5.67207541743074,9.23356762533485,8.68618361659114,9.84728358835897
Adhfe1,8.20681275788257,8.09765444674806,7.18491798925108,3.75761466529307,4.624264772204,4.20469637942785
Lactb2,3.14159256062047,4.14666982353159,2.57279778624739,7.49165679229152,5.43243194491407,7.05914223831105
Scd2,7.53905590111236,7.8035504675006,8.17989904445261,4.08753915570137,5.99148725313165,3.38572821267899
Cdc20,4.30943813009346,2.95611029322405,4.5212828397875,7.22988767342189,5.9037682199715,8.43816440949427
Acss1,8.23150538996765,7.38704078221998,8.33249990750061,6.81652469525306,4.22452943645637,3.64323126862137
Wnk1,9.35982969150863,8.71202170424635,9.22292766303485,4.12542069050485,8.31196660675107,6.61626058524765
Pf4,4.83197450731661,4.56502533011534,5.99598846932388,6.89209124066118,5.82141727832838,10.1225850379917
Scn2a1,7.59659098749538,7.15657347470319,7.2325699506601,7.57435986441362,8.19649199173434,2.69602620388751
Bnip2,7.70458652180352,7.58438173070668,5.81924369979926,5.08255036616191,2.58509972925193,7.4836498258434
Tuba1c|Gm6682,4.28529174227376,3.86145284068034,4.52280287438552,7.12778478280855,6.8419642330317,8.91133029722746
Nap1l3,6.05879920039676,5.747757781847,4.33602092862625,7.29821667597085,2.39820026613235,2.48768047801963
S100a11,4.5804383688821,4.41270760694165,4.09122712814938,7.03474890611122,7.36025877545355,8.97720603521546
Bcl2a1b|Bcl2a1a|Bcl2a1d,5.17971672712391,5.4125829955049,5.9265393886919,9.00571025679284,9.18566289503243,9.15317247429415
Rorb,9.41808016321469,9.32301362219746,8.99560768878717,5.01959090657147,5.70475338584402,6.4189418884345
Klk6,4.79057501994473,4.32486438448214,5.34879927481504,7.14327493760402,8.43799868023811,9.06528348452957
Naa15,7.15267104860442,7.46996947549529,6.07236356421445,3.43467402035017,4.35997611503508,2.72250356571307
Banf1,5.41874995289928,2.96355585468201,3.45000412256305,6.78020926570905,6.50697576824976,8.01441979820587
Slc6a1,9.31073196640253,9.3133032150949,9.34953035953178,7.21076293940708,6.68705431738192,4.47860703113577
Ccl3,5.25699990552417,4.70475394631994,4.7921873380951,8.32270520573783,9.40691881532911,6.77520206724044
Cald1,5.55593527201578,4.07477888442677,6.23039713995212,3.12233624967784,3.10274271727426,8.11826929978811
Osgepl1,4.11239520205289,4.06141887865207,4.05483483128521,3.64931727976385,2.58816226966847,8.30801477314636
Gfap,8.34435698968531,7.73771808998131,9.27238729840835,11.5069251887872,11.2558637047501,12.6984493726324
Unc13c,9.65812528273929,8.47407505505347,8.85219958978305,7.89732139265031,8.20735184163327,4.0317437494013
Kcnd2,7.09738388806788,6.31242883072665,7.9937429266326,5.53827099504186,5.56157490615227,2.27961053043731
Gna13,6.68709952295584,6.28184399483797,6.0537450056714,2.51118489555409,5.0308633612772,2.22564090961864
Cplx2,11.2483851211852,10.9669204417545,10.9898131118436,8.18478693820688,9.47861817544056,6.33105989260976
Tyw5,6.0859110733952,7.21564376129979,3.42127519141214,3.02518321005207,4.1145118681829,7.48901903864705
Fzd2,8.17508103671644,8.31765643140638,7.51708414523413,4.18443236256057,6.36117813112288,3.93689582224878
Cadm2,7.64760364049472,7.86219965765152,7.73214701080478,4.9282364189578,6.63250672046636,3.02377187176683
Lpp,7.40146348430237,7.67194638828628,5.90827645078547,6.32053052443198,3.63538144351647,2.97200455773176
F13a1,4.1675573122422,3.25716890749252,4.10736735949668,5.70690037188197,5.18290427351338,8.75002781932722
Alcam,6.5579033049393,7.53117594988068,7.41679216177004,5.82536412921463,3.32533272122972,3.21515904737967
Agap1,8.97447247507955,8.80130293314981,8.26844148470651,3.83707471319346,8.5446369601273,7.88516615046099
Tril,8.35859266638033,7.84816899286985,7.9312757245387,3.48192673604638,5.9846963142477,5.04868688330307
Cyp4f15,9.21013441050914,9.73950842314957,8.67902246829039,7.34427785165152,6.41664780654994,4.59986893161342
Lix1,8.97160155453179,7.6953664943233,8.61171405986893,4.71909426569313,5.29889567268707,4.94729630385685
Slu7,7.5365288697744,4.55516411676339,7.35669604593802,3.70306628944573,5.84418592715171,2.83675375264733
Bmpr2,8.79064470816834,7.90628502100563,8.87729182944051,4.81217048644945,6.36030125835893,4.55257045114044
Aox1,7.78215602851561,8.35668746401567,7.01927438709087,4.58540558010779,6.234508587851,3.35409564545373
Serp1,7.5023974119369,6.21521449614528,5.95100993422889,9.09816873943917,9.08174759124027,10.9162577606767
Pank1,6.33569014183022,5.77583020392465,6.81245958092586,3.01916922059152,6.87947872458839,2.62679931993924
Cpd,6.94583536822682,7.0768799081728,6.9482368463639,8.65570734267102,3.28012852524642,8.37671501483321
Pnisr,6.91122190343423,6.29568334219089,5.10965122470507,2.57388845974664,3.33163095162457,2.52371450872898
Dbt,7.73657416407939,6.97760314925042,7.81378737956951,4.0860466323687,3.43430553343206,6.9303324090475
Apoc2,3.44004473956722,2.95611029322405,3.26077477272435,5.76778257917498,5.42133955335102,7.83903192975306
Arhgap5,8.17665750158548,6.98869009791682,7.71524968522783,5.94126096092815,5.69770669849955,2.88936892433038
Kctd1,8.63897057122018,7.18893282373183,7.14820983365827,6.48801200591775,8.79393981417546,3.55445270903192
Rfc1,6.97984044945536,6.31988157258387,7.35249569390118,2.68273547010492,6.29486425693747,3.70958323109147
BC005561|Thoc2,9.16621376387419,6.34515349354604,7.71703896738439,5.6945194327904,9.20780402878397,4.5684056075573
